Name                                  ,Distribution                                                                                                                                                                                                            ,Manufacturer                                                       ,Description
100 Grand Bar                         ,United States                                                                                                                                                                                                           ,Nestlé                                                             ,Caramel and crisped rice
3 Musketeers                          ,"United States, Canada"                                                                                                                                                                                                 ,Mars                                                               ,Aerated chocolate-flavored nougat with milk chocolate coating; also available in mint and caramel
3 Musketeers Truffle Crisp            ,United States                                                                                                                                                                                                           ,Mars                                                               ,
5 Star                                ,"India, Malaysia, Brazil and the Philippines"                                                                                                                                                                           ,Cadbury                                                            ,Caramel and nougat covered in milk chocolate
5th Avenue                            ,United States                                                                                                                                                                                                           ,Hershey                                                            ,Honeycombed crunchy peanut butter candy center in milk chocolate
Aero                                  ,"United Kingdom, New Zealand, Ireland, Mainland Europe, South Africa, Argentina, Australia, Middle East, Canada"                                                                                                        ,Nestlé                                                             ,"Frothy chocolate with ""bubbles"""
Aero Caramel                          ,"Canada, Ireland, New Zealand, United Kingdom, Japan"                                                                                                                                                                   ,Nestlé                                                             ,"Chocolate ""bubbles"" with a caramel layer in milk chocolate"
Aero Mint                             ,"Canada, New Zealand, Ireland, United Kingdom, Australia"                                                                                                                                                               ,Nestlé                                                             ,"Chocolate ""bubbles"" with a mint layer in milk chocolate"
Aero Orange                           ,"Ireland, United Kingdom"                                                                                                                                                                                               ,Nestle                                                             ,"Chocolate ""Bubbles"" with an orange layer in milk chocolate"
After Eight                           ,"Denmark, United States, Canada, United Kingdom, Ireland, South Africa, Middle East, France, Netherlands, Romania, Finland, Turkey, Norway, Germany, Poland, Sweden"                                                    ,Nestlé                                                             ,Dark chocolate with mint cream filling
Air Delight                           ,United States                                                                                                                                                                                                           ,Hershey                                                            ,Aerated milk chocolate
Albeni                                ,"Turkey, Azerbaijan, Central Asia countries, Russia, US"                                                                                                                                                                ,Ulker                                                              ,Chocolate bar with caramel waffle
Albert's Ice Cubes                    ,United States and Germany                                                                                                                                                                                               ,"Made by Nappo Moritz GimbH for R.I. Albert & Son, Inc"            ,Small chocolate bar
Almond Joy                            ,"United States, Canada"                                                                                                                                                                                                 ,Hershey                                                            ,Milk-chocolate covered coconut with whole almonds. Limited editions include chocolate (featuring chocolate-coconut filling) and piña colada (featuring pineapple-flavored coconut in chocolate)
Amul Chocolate                        ,India                                                                                                                                                                                                                   ,"Anand Milk Union Limited, India"                                  ,"Available in orange, milk and chocolate flavors"
Baby Ruth                             ,"United States, Canada"                                                                                                                                                                                                 ,Nestlé                                                             ,Caramel and nougat center with peanuts in compound chocolate
Balisto                               ,"Netherlands, Belgium, France, Germany"                                                                                                                                                                                 ,Masterfoods                                                        ,Muesli covered in chocolate
Bar None                              ,United States                                                                                                                                                                                                           ,Hershey                                                            ,"Cocoa wafer, chocolate filling, peanuts and a milk chocolate coating"
Bar One                               ,"India, South Africa"                                                                                                                                                                                                   ,Nestlé                                                             ,Malted nougat with a caramel topping and covered in milk chocolate
Big Turk                              ,Canada                                                                                                                                                                                                                  ,Nestlé                                                             ,Turkish delight covered with milk chocolate
Boost                                 ,"Australia, New Zealand, United Kingdom, Ireland"                                                                                                                                                                       ,Cadbury                                                            ,
Bounty                                ,"New Zealand, Russia, Romania, Italy, United Kingdom, Ireland, Denmark, Norway, Canada, Australia, South Africa, France, Morocco, Netherlands, Belgium, Germany, Poland, Ukraine, Czech Republic, Turkey, India, Sweden",Mars                                                               ,Coconut filling covered with milk or plain chocolate
Bournville                            ,"United States, United Kingdom, Ireland, Middle East, India"                                                                                                                                                            ,Cadbury                                                            ,Dark chocolate
Breakaway                             ,United Kingdom                                                                                                                                                                                                          ,Nestlé                                                             ,A rectangular digestive biscuit covered in milk chocolate
Bros                                  ,Netherlands                                                                                                                                                                                                             ,Nestlé                                                             ,Aerated milk chocolate
Bros puur                             ,Netherlands                                                                                                                                                                                                             ,Nestlé                                                             ,Aerated dark chocolate
Bubu Lubu                             ,"Mexico, United States"                                                                                                                                                                                                 ,Ricolino (Mexico)                                                  ,Strawberry gummy candy and marshmallow with chocolate-flavored coating
